User_ID,Feedback,Sentiment
82,"I got stuck on one of the registration questions, and the chatbot didn’t provide a way to go back.",Negative
83,"It was a pleasant experience! The chatbot even reminded me of my upcoming event.",Positive
84,"It’s fine, but sometimes it repeats answers I already acknowledged.",Neutral
85,"The chatbot was completely unhelpful in answering my event-related questions.",Negative
86,"I was amazed by how smoothly the chatbot handled my registration. It even sent me confirmation details instantly!",Positive
87,"It works fine, but I think it should have a better way of handling multiple-choice answers.",Neutral
88,"Not impressed. It kept providing the same generic responses to my specific queries.",Negative
89,"I appreciate how the chatbot guided me step by step through the event registration process!",Positive
90,"Good tool, but it could use better formatting for longer responses.",Neutral
91,"I wasn’t able to update my registration details, and the chatbot didn’t help.",Negative
92,"I loved how responsive the chatbot was! It saved me a lot of time.",Positive
93,"It’s okay, but the text is too small on mobile, making it a bit hard to read.",Neutral
94,"I tried to correct a mistake in my registration, but the chatbot didn’t give me an option to do so.",Negative
95,"Amazing experience! The chatbot even recommended a volunteering opportunity that suited my schedule.",Positive
96,"It provided clear instructions, but I wish it allowed for more free-text responses instead of predefined options.",Neutral
97,"It failed to understand my query about event timings. I had to ask support instead.",Negative
98,"The chatbot was incredibly smooth and user-friendly! I got my event details within seconds.",Positive
99,"Decent experience, but I wish it supported more regional languages.",Neutral
100,"Great chatbot! I never thought registering for an event could be this simple.",Positive

